ARS,1.4,2.5,5,1.4,5,3,4.1,1.4,1.9,3,3.5,1.9,2.5,2.4,3.6,1.9,1.4,0.9,1.4,3,3.6,3.5,1.9,1.4,4.5,3.5,2.4,3,3,4.5,1.9,0.9,1.9,1.4,0.9,4.1,1.4,1.4
AVL,5,1.5,1.5,4.5,3.6,1.5,2.5,3.6,1.5,3,1.5,3.6,2,1.5,1,4.2,4.2,3.1,2,2.5,3,2.5,3.1,2,3.1,2,3.1,2,2,1,5,4.5,1,2.5,3.7,1.5,3.6,3.7
BHA,3.6,1.9,3.6,2.4,1.4,0.9,3.5,1.9,1.9,4.5,2.5,3.5,1.4,1.4,3,3,3,5,1.9,0.9,3,5,2.4,1.4,0.9,1.4,3,3,1.4,4.1,1.9,4.1,1.9,1.4,3.5,2.5,4.5,3.5
BUR,5,3.5,2.5,1.9,1.4,3,3.6,1.9,0.9,5,1.9,3.5,1.9,3,1.9,1.4,0.9,5,3,1.4,4.1,4.5,1.4,1.4,0.9,3.5,3,2.4,3,3,1.4,4.1,3.5,2.5,1.4,1.4,4.5,1.9
CHE,1.8,4.5,1.3,0.8,2.5,4,2.3,1.3,1.8,3,1.3,2.3,3.5,2.5,3.5,1.3,4.5,3.5,1.3,3,1.8,3.5,1.8,1.3,3,3.5,1.8,1.8,5,0.8,1.3,1.3,3,0.8,5,3,3,1.8
CRY,2.5,4.1,1.9,4.1,1.4,1.4,3.5,1.4,2.4,1.4,1.4,3,3,4.5,1.9,3,1.4,3.5,5,2.5,3,1.9,1.9,1.9,1.9,0.9,3.5,0.9,3.6,2.4,3.6,3,3.5,4.5,1.9,1.4,3,5
EVE,3.6,1,1.5,1.5,4.5,3,2,3.7,1.5,1.5,2.5,3.7,3.6,3.1,2,4.5,2.5,3.6,2,3.1,1.5,2,4.2,1,5,2.5,4.2,2,1.5,1,2,3.1,3.6,1.5,3,1.5,3.1,5
FUL,3.1,2,1.5,3.6,2,1,1,3,2,3.6,5,4.5,1.5,2,2.5,3.6,2.5,3.7,3.7,2,1.5,3.1,2.5,2.5,1.5,1.5,5,4.5,1.5,2,3.1,3.6,3.1,4.2,2,3,4.2,1.5
LEE,5,0.8,1.8,4.5,3,1.8,3,1.3,3,2.3,4,2.5,1.3,4,1.8,1.3,3.5,2.5,1.3,1.8,3.5,1.8,0.8,3.5,3.5,1.3,3,3.5,1.3,1.3,5,4.5,3.5,1.8,3,2.3,3,0.8
LEI,1.3,1.8,5,2.5,1.3,3.5,1.8,3,5,0.8,1.8,1.3,1.8,3.5,3.5,1.3,1.8,3.5,2.5,2.3,1.3,1.3,3.5,4.5,1.8,3,1.8,1.3,2.3,4.5,3,0.8,0.8,3,1.3,4,4,3
LIV,1.3,4,2.9,1.8,2.3,1.3,2.8,5,2.9,1.8,2.9,1.3,2.9,1.3,0.8,1.8,2.8,1.8,3.4,3.4,2.3,1.3,4.5,3.4,1.8,1.8,0.8,3.4,3.4,3.4,1.3,1.8,1.3,4,2.3,1.3,2.3,0.8
MCI,5,3.4,2.9,1.8,2.9,2.3,1.8,4.5,3.4,1.8,0.8,4,0.8,2.8,1.3,2.3,4,1.3,0.8,1.3,1.3,2.3,5,2.9,3.4,2.3,3.4,1.3,2.9,3.4,1.3,1.8,2.3,1.3,3.4,1.8,1.8,1.8
MUN,5,0.8,1.8,3,1.8,3.5,3,2.3,0.8,3,3,4.5,1.8,1.3,3.5,3,1.3,1.3,5,1.3,3.5,2.5,1.8,1.3,1.3,4,5,2.5,1.3,1.3,3.5,1.8,1.8,4.5,1.8,3,0.8,3.5
NEW,3,1.5,3.6,2,3.7,3.6,2,3,3.7,1.5,2,1,2,1,5,4.5,3.1,2,3.6,1.5,2.5,1,2.5,4.2,4.2,3.1,1.5,1.5,2,3.1,2.5,2.5,5,3.1,3.6,4.5,1.5,1.5
SHU,3,1.8,1.3,3.5,0.8,5,4.5,4,2.5,1.3,3,3,3.5,1.8,1.8,2.3,1.3,1.3,3,4,5,0.8,3.5,3,1.3,4.5,2.5,3.5,1.3,1.8,3,3.5,1.3,3.5,0.8,2.3,1.8,1.8
SOU,1.4,3,2.4,0.9,4.1,1.9,1.9,1.4,3.5,3.6,1.9,1.4,3.5,4.5,1.4,2.5,4.5,1.9,3.5,3,1.4,4.1,1.9,3,3.6,2.4,1.9,1.4,3.5,1.9,1.4,0.9,5,3,5,0.9,1.4,3
TOT,1.9,3,1.4,4.1,2.5,2.4,1.4,1.4,4.5,4.1,3,1.4,5,3,3.5,0.9,1.4,1.9,1.9,4.5,1.9,3.6,0.9,5,3,1.9,0.9,3.5,2.5,1.9,3.6,2.4,1.4,1.4,1.9,3,1.4,3.5
WBA,3.1,2.5,3.7,3,2,2,1.5,3.1,4.2,1.5,1,2,5,1.5,5,1.5,3.1,3,3.6,4.5,1,2,3.6,3.7,2.5,1.5,1.5,1.5,2,4.2,2.5,3.6,2,3.1,3.6,4.5,2.5,2
WHU,1.5,3.6,3.1,3.6,3.6,4.5,5,1,2,1.5,3.7,2,1,4.2,1.5,3,2.5,1,2,1.5,4.5,2,1.5,1.5,3.1,5,1.5,4.2,3.1,3.6,3.1,2,3.7,2.5,2,2,1.5,2.5
WOL,1.8,4.5,3,0.8,1.8,1.3,0.8,3.5,2.5,3.5,5,1.3,3.5,2.3,3,4,1.8,1.8,0.8,4,1.3,3,3,3,1.3,1.8,1.8,4.5,5,2.5,1.3,1.3,1.8,1.3,1.3,3.5,2.3,3.5
